"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"B86267671","4398005.74","2018","100000","RUIZ SANTAMARIA, FRANCISCO JAVIER","4121 - Construcción de edificios residenciales","CALLE DEL ELECTRODO, 5","administracion@erdagar.com","64","Desconocido","2011-07-22","2018-12-31","SOCIEDAD LIMITADA","28522 RIVAS-VACIAMADRID (Madrid)","CONSTRUCCIONES ERDAGAR SL.","Desconocido","Activa","[911384520, 913017404]","['www.erdagar.com']","mediana"
"B86341922","1743637.16","2016","3100","Desconocido","4321 - Instalaciones eléctricas","LUGAR CORTIJO RIVERA, 29","info@natursolar.com","19","Desconocido","2012-01-01","2016-12-31","SOCIEDAD LIMITADA","29730 RINCON DE LA VICTORIA (Málaga)","NATURSOLAR DEL PASO SL  (EXTINGUIDA)","Desconocido","Extinción","[952000232]","['www.natursolar.com']","pequeña"
"B86404399","4669021.82","2018","3000","GARCIA VALCARCEL GONZALEZ, FRANCISCO JAVIER","6832 - Gestión y administración de la propiedad inmobiliaria","CALLE QUINTANAVIDES, 19 - ED 4 PISO 3 E","info@gestilar.com","33","Desconocido","2012-04-13","2018-12-31","SOCIEDAD LIMITADA","28050 MADRID (Madrid)","GESTILAR SERVICIOS INMOBILIARIOS SL.","Desconocido","Activa","[913697450]","['www.gestilar.com']","pequeña"
"B86561081","1785741.68","2018","3000","VIUDES DE CARLOS, CRISTINA","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE BARQUILLO, 9 - PISO 5","comercial@ihfsl.com","32","Desconocido","2012-10-04","2018-12-31","SOCIEDAD LIMITADA","28004 MADRID (Madrid)","INSTALACIONES HIDRAULICAS FERMIN SL.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B86619459","9190486","2018","1500000","KHAN BILAL, ALI","8299 - Otras actividades de apoyo a las empresas n.c.o.p.","AVENIDA DE BRUSELAS, 7 - PISO 3 IZ","info@fisterraenergy.com","12","[911730537]","2012-12-20","2018-12-31","SOCIEDAD LIMITADA","28108 ALCOBENDAS (Madrid)","FISTERRA ENERGY SL.","Desconocido","Activa","[916619457]","['www.fisterraenergy.com']","pequeña"
"B87022042","9572650.81","2018","100000","LATORRE GARCIA, FEDERICO","4121 - Construcción de edificios residenciales","CALLE BAÑOS DE MONTEMAYOR, 7 - LOC 3","federico@perpendicular.es","11","Desconocido","2014-05-27","2018-12-31","SOCIEDAD LIMITADA","28005 MADRID (Madrid)","PERPENDICULAR ARQUITECTURA SL.","Desconocido","Activa","[917865009]","['www.perpendicular.es']","pequeña"
"B87550190","628804.32","2018","3000","DE LA CORTE SANCHEZ, SECO ROBERTO","4321 - Instalaciones eléctricas","AVENIDA DEL PINAR, 31","info@cormat.es","7","Desconocido","2016-04-26","2018-12-31","SOCIEDAD LIMITADA","28925 ALCORCON (Madrid)","CORMAT MANTENIMIENTOS E INSTALACIONES SL.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B87623716","7197729","2018","3000","GIRON GARCIA, JUAN DOMINGO","6209 - Otros servicios relacionados con las tecnologías de la información y la informática","CALLE ISAAC NEWTON, 3 - ED BLUENET","Desconocido","71","Desconocido","2016-07-28","2018-11-30","SOCIEDAD LIMITADA","41092 SEVILLA (Sevilla)","DTN SERVICES AND SYSTEMS SPAIN SL.","Desconocido","Activa","Desconocido","Desconocido","mediana"
"B90019704","5575894.11","2018","63000","MORALES GALDEANO, JOSE ANTONIO","4122 - Construcción de edificios no residenciales","CALLE TORRICELLI, 5 - LOC B 5","Desconocido","26","Desconocido","2012-08-09","2018-12-31","SOCIEDAD LIMITADA","41092 SEVILLA (Sevilla)","AREA SOLUCIONES INTEGRALES SOCIEDAD LIMITADA.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B90114745","1006777.52","2017","42680","DOMINGUEZ PEÑA, FRANCISCO JAVIER","4121 - Construcción de edificios residenciales","AVENIDA BLAS INFANTE, 11","Desconocido","18","Desconocido","2014-01-22","2017-12-31","SOCIEDAD LIMITADA","41510 MAIRENA DEL ALCOR (Sevilla)","CONSAR PROYECTOS SOCIEDAD LIMITADA.","Desconocido","Activa","[955748187]","Desconocido","pequeña"
"B90192501","8480518.73","2018","1332167","CHABRERA ADIEGO, LUIS","4110 - Promoción inmobiliaria","LUGAR PARQUE COMERCIAL ALJARAFE, S/N","Desconocido","21","Desconocido","2015-03-10","2018-12-31","SOCIEDAD LIMITADA","41940 TOMARES (Sevilla)","TACAZA SUR SOCIEDAD LIMITADA.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B91030296","4249692.2","2017","301000","ORDINA VEGA, EMILIO","3312 - Reparación de maquinaria","AVENIDA PARSI, S/N - PORTAL C PLANTA 7","adm@fatsur.com","60","[955635039]","2000-01-10","2017-12-31","SOCIEDAD LIMITADA","41016 SEVILLA (Sevilla)","FATSUR SERVICIOS INTEGRALES SL","Desconocido","Activa","[955635051]","['www.fatsur.com']","mediana"
"B91368092","3957271.29","2018","43010","BERNAL RODRIGUEZ, JESUS","4121 - Construcción de edificios residenciales","CALLE INDUSTRIA, S/N - 23-25","administracion@solido-obras.com","64","[955816878]","2004-05-04","2018-12-31","SOCIEDAD LIMITADA","41720 LOS PALACIOS Y VILLAFRANCA (Sevilla)","SOLIDO OBRAS Y MANTENIMIENTO SL","Desconocido","Activa","[955810230]","['www.solido-obras.com']","mediana"
"B91623371","612132.16","2015","3010","MURILLO DOMINGUEZ, JOSE ANTONIO","4121 - Construcción de edificios residenciales","CALLE MAIRENA DEL ALCOR, 69","Desconocido","8","Desconocido","2007-01-30","2015-12-31","SOCIEDAD LIMITADA","41006 SEVILLA (Sevilla)","MUROBRAS GESTION Y DESARROLLO SL","Desconocido","Posible cierre de hoja registral","[954654083]","Desconocido","pequeña"
"B91880112","1124942.2","2018","30000","CARO CARO, DAVID","4121 - Construcción de edificios residenciales","CALLE CARREROS, 26","Desconocido","17","[955865588]","2010-05-03","2018-12-31","SOCIEDAD LIMITADA","41710 UTRERA (Sevilla)","DER PROYECTOS Y OBRAS SOCIEDAD LIMITADA","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B91959254","1299375.2","2018","199810","BELLIDO MARQUEZ, ERNESTO ISRAEL","4121 - Construcción de edificios residenciales","CALLE LICENCIADO LUIS CAMACHO CARRASCO, 9 - PISO 1","administracion@arcobeltia.com","45","Desconocido","2011-09-09","2018-12-31","SOCIEDAD LIMITADA","41620 MARCHENA (Sevilla)","ARCOBELTIA CONSTRUCCIONES SOCIEDAD LIMITADA.","Desconocido","Activa","[954020005]","['www.arcobeltia.com']","pequeña"
"B92001007","13262568.94","2018","109520.42","DOMINGUEZ VALDIVIA, MANUEL","4121 - Construcción de edificios residenciales","CALLE IRIS, OFIC 1 A","info@gruporedpoint.com","48","[952785563]","1998-04-24","2018-12-31","SOCIEDAD LIMITADA","29660 MARBELLA (Málaga)","RED POINT BUILDERS S.L.","Desconocido","Activa","Desconocido","['www.gruporedpoint.com']","pequeña"
"B92112028","8391028.27","2018","61001.5","RIOS HERNANDEZ, JUAN LUIS","4121 - Construcción de edificios residenciales","CALLE MARIA MALIBRAN, 10 - PISO 1 OFICINAS A Y B","contabilidad@ormetec.com","37","Desconocido","1999-11-19","2018-12-31","SOCIEDAD LIMITADA","29590 MALAGA (Málaga)","ORMETEC OBRAS Y SERVICIOS SL.","['ORMETEC OBRAS Y SERVICIOS']","Activa","Desconocido","Desconocido","mediana"
"B92330141","708276.17","2018","6400","REQUENA TORRES, CARLOS","4121 - Construcción de edificios residenciales","CALLE SANTA MARGARITA, 6 - LOC","oficina@chmanila.com","23","Desconocido","2002-05-14","2018-12-31","SOCIEDAD LIMITADA","29700 VELEZ-MALAGA (Málaga)","CONSTRUCCIONES HACIENDA MANILA SL","Desconocido","Activa","[952960643]","['www.alcazaba2002.com']","mediana"
"B92340637","6880861.9","2018","6040","MUNOZ LANZAS, EUGENIO","4121 - Construcción de edificios residenciales","AVENIDA ANDALUCIA, S/N","info@mlzconstrucion.com","40","Desconocido","2002-06-11","2018-12-31","SOCIEDAD LIMITADA","29680 ESTEPONA (Málaga)","MUÑOZ LANZAS CONSTRUCCIONES ESTEPONA SL","Desconocido","Activa","[952796066]","Desconocido","pequeña"
"B92885367","5177444.47","2018","3050","RODRIGUEZ GORDILLO, DAVID","4121 - Construcción de edificios residenciales","AVENIDA DEL CARMEN, 10 - PISO 6ºC","jrodriguez@joalcabezas.com","84","Desconocido","2007-08-31","2018-12-31","SOCIEDAD LIMITADA","29680 ESTEPONA (Málaga)","JOAL CABEZAS PROMOCIONES SL","Desconocido","Activa","Desconocido","['www.joalcabezas.com']","pequeña"
"B93024057","7341333.44","2018","3010","LUQUE GARCIA, SALVADOR","8110 - Servicios integrales a edificios e instalaciones","AVENIDA PUERTA DEL MAR, 15","weresolve@companywe.com","100","[952920010]","2009-09-14","2018-12-31","SOCIEDAD LIMITADA","29602 MARBELLA (Málaga)","FUERTEMANT SL","Desconocido","Activa","[952868696, 952920012, 952920005]","['www.weresolve.es']","mediana"
"B93046894","2659879.46","2018","3100","FISCHER NILS, ANDERS","4121 - Construcción de edificios residenciales","AVENIDA DE MANOLETE, 1","icoca@balms.com","14","Desconocido","2010-02-04","2018-12-31","SOCIEDAD LIMITADA","29660 MARBELLA (Málaga)","CONSTRUCCIONES Y DEMOLICIONES COSTA DEL SOL SL.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B93096154","4948645.97","2018","27222","MENDEZ PADILLA, JOSE MIGUEL","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE SAN PEDRO ALCANTARA, LOC","info@construspain.com","17","Desconocido","2010-06-17","2018-12-31","SOCIEDAD LIMITADA","29601 MARBELLA (Málaga)","CONSTRUSPAIN VIGIL SL","Desconocido","Concurso","Desconocido","Desconocido","pequeña"
"B93332930","3063011.66","2018","3006","JIMENEZ RAMIREZ, JOSE ANTONIO","6190 - Otras actividades de telecomunicaciones","CALLE KANDINSKY, 2 - BL 9 PISO 4 D","administracion@implantatic.com","75","Desconocido","2014-05-15","2018-12-31","SOCIEDAD LIMITADA","29010 MALAGA (Málaga)","IMPLANTATIC SL.","Desconocido","Activa","Desconocido","['www.implantatic.es']","mediana"
"B95310264","6694940.54","2018","3020","HONTORIA RUIZ, ELIAS","4121 - Construcción de edificios residenciales","CALLE USAUSUAGA, 5","info@gruporepair.com","25","Desconocido","2004-04-15","2018-12-31","SOCIEDAD LIMITADA","48970 BASAURI (Bizkaia)","REPAIR FACHADAS SOCIEDAD LIMITADA.","Desconocido","Activa","[944413962]","['www.gruporepair.com']","pequeña"
"B95328993","4807797.75","2017","3006","GARCIA RAMAL PEREZ YARZA, ENRIQUE","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE RIBERA DE AXPE ETORBIDEA, 11","compras@smartel.es","100","[944805308]","2004-08-24","2017-12-31","SOCIEDAD LIMITADA","48950 ERANDIO (Bizkaia)","SMART TELECOM CONSULTING 2004 SL","Desconocido","Activa","[944805307]","['www.smartel.es']","mediana"
"B95385258","1638433.48","2018","173840","LUCAS TORRALBA, JULIO","2899 - Fabricación de otra maquinaria para usos específicos n.c.o.p.","CALLE GORDONIZ, 53 - A 1","aitziber.echeandia@elytt.com","21","[944575454]","2005-09-13","2018-12-31","SOCIEDAD LIMITADA","48002 BILBAO (Bizkaia)","NEUREUS TECHNOLOGIES SL","Desconocido","Activa","[944363725, 946532221]","['www.elytt.com']","pequeña"
"B95729216","3767803.8","2018","3000","GRUPO TECMAN HOLDING MOBILIARIO SOCIEDAD LIMITADA","2932 - Fabricación de otros componentes, piezas y accesorios para vehículos de motor","POLIGONO INDUSTRIAL ASUARAN, 5","tecman@tecman.eus","107","[944538425]","2013-06-25","2018-12-31","SOCIEDAD LIMITADA","48950 ERANDIO (Bizkaia)","TECMAN FACILITY SERVICES SLU","Desconocido","Activa","[944538360]","['www.tecman.eus']","mediana"
"B96502265","7166314.68","2018","27703","CORCOLES ALCORIZA, JAVIER","4121 - Construcción de edificios residenciales","CALLE DE LA PAU, 17","general@nideker.es","13","[963293751]","1996-01-08","2018-12-31","SOCIEDAD LIMITADA","46003 VALENCIA (Valencia)","CONSTRUCCIONES NIDEKER SL","Desconocido","Activa","[963293750]","['www.nideker.es']","mediana"
"B96850003","1234499.99","2018","120000","BONONAT DE NALDA, ISIDRO","4121 - Construcción de edificios residenciales","AVENIDA BILBAO, 1 - 1 TORRE COBLANCA","Desconocido","20","Desconocido","1999-02-27","2018-12-31","SOCIEDAD LIMITADA","03503 BENIDORM (Alicante)","COBLANCA RESIDENCIAL S.L.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B96852876","3477507.93","2018","70918","VILLANUEVA SOLVES, DAVID","4121 - Construcción de edificios residenciales","CAMINO DOS PONTETS, 10","sercyoval@sercyoval.com","25","Desconocido","1999-03-03","2018-12-31","SOCIEDAD LIMITADA","46410 SUECA (Valencia)","OBRAS Y SERVICIOS SERCYOVAL SOCIEDAD LIMITADA.","Desconocido","Activa","[961702957]","['www.sercyoval.com']","pequeña"
"B97500433","5870502.29","2018","3310","WHYTE SARA, JOANNE","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","PASEO FACULTATS, 1 - ESC B DESPACHO G","cps@cpsingenieros.net","90","[963934883]","2004-09-16","2018-12-31","SOCIEDAD LIMITADA","46021 VALENCIA (Valencia)","CPS INFRAESTRUCTURAS MOVILIDAD Y MEDIO AMBIENTE SL.","Desconocido","Activa","[963934882]","['www.cpsingenieros.net']","mediana"
"B97670236","14705660","2018","3010","OBREMO SOCIEDAD LIMITADA","4222 - Construcción de redes eléctricas y de telecomunicaciones","CALLE CAMPOS CRESPO, 4","info@obremo.es","248","[963573956]","2005-12-02","2018-12-31","SOCIEDAD LIMITADA","46017 VALENCIA (Valencia)","MANTENIMIENTO DE INFRAESTRUCTURAS BALEARES SL","Desconocido","Activa","[963577603, 900927792]","['www.obremo.es']","grande"
"B97856470","2457729.43","2018","3102","BURDEOS MARTINEZ, JOSE VICENTE","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE MAS DEL JUTGE, 47 - BAJO","admin@bcsif.com","33","Desconocido","2007-02-13","2018-12-31","SOCIEDAD LIMITADA","46900 TORRENT (Valencia)","BCS INGENIERIA Y FABRICACION SOCIEDAD LIMITADA.","Desconocido","Activa","[963138777]","['www.bcsif.com']","pequeña"
"B97936322","1653240.01","2017","100000","PEREIRA SERGE, ROGER","4121 - Construcción de edificios residenciales","CALLE NARCIS MONTURIOL I ESTARRIOL, 7 - 9","info@unicondevelopment.com","6","[963302779]","2007-08-17","2017-12-31","SOCIEDAD LIMITADA","46980 PATERNA (Valencia)","UNICON DEVELOPMENT SL","Desconocido","Activa","[963319817]","['www.unicondevelopment.com']","pequeña"
"B98296486","4147806.59","2018","90000","VANACLOIG FERRANDIS, JUAN","4121 - Construcción de edificios residenciales","PLAZA ALQUERIA DE CULLA, 4 - PISO 13. PTA 1-2","vainsa@vainsa.es","58","[961287836]","2010-11-02","2018-12-31","SOCIEDAD LIMITADA","46910 ALFAFAR (Valencia)","VAINSA INFRAESTRUCTURAS SOCIEDAD LIMITADA","Desconocido","Activa","[961475655]","['www.vainsa.es']","mediana"
"B98404726","2863129.86","2018","3008","MATOSES CARBONELL, JUAN VICENTE","4321 - Instalaciones eléctricas","AVENIDA SEQUIA REIAL DEL XUQUER, 76","admin@matosca.com","60","Desconocido","2012-01-01","2018-12-31","SOCIEDAD LIMITADA","46460 SILLA (Valencia)","MATOSCA SOLAR SL.","Desconocido","Activa","[961210005]","['www.matoscasolar.com']","mediana"
"B98627417","1526941.12","2017","3300","GALIANA PEDROS, JAUME","6120 - Telecomunicaciones inalámbricas","CAMINO VIEJO DE SILLA, 15","jaumegaliana@fibraval.es","46","Desconocido","2014-04-01","2017-12-31","SOCIEDAD LIMITADA","46470 ALBAL (Valencia)","FIBRAVAL SOCIEDAD LIMITADA.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B99347924","12777714.15","2018","3000","ARTAL MARTELES, FRANCISCO JOSE","4110 - Promoción inmobiliaria","CALLE SANT MIQUEL, 65 - ENT","Desconocido","43","Desconocido","2012-06-20","2018-12-31","SOCIEDAD LIMITADA","07002 PALMA (Baleares)","DESARROLLOS CONSTRUCTIVOS DE VIVIENDAS SOCIEDAD LIMITADA.","Desconocido","Activa","[976223312]","Desconocido","pequeña"
"B99415267","5359335.32","2018","2002840","ABALSIR INVESTMENTS SOCIEDAD LIMITADA","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","AVENIDA CAMPO DE BORJA, S/N","administracion@vamanholding.com","35","Desconocido","2014-07-11","2018-12-31","SOCIEDAD LIMITADA","50540 BORJA (Zaragoza)","VAMAN MANAGEMENT HOLDING SOCIEDAD LIMITADA.","Desconocido","Activa","[976868138, 976957650, 976867909, 976868240]","Desconocido","pequeña"
"B99421455","19392377.03","2018","1600000","CONSTRUCCIONES MARIANO LOPEZ NAVARRO SA","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE UNCASTILLO, 19 - BJ","administracion@grupo-mln.com","22","[976590719]","2014-09-26","2018-12-31","SOCIEDAD LIMITADA","50008 ZARAGOZA (Zaragoza)","COMPAÑIA DE OBRAS PUBLICAS HORMIGONES Y ASFALTOS SOCIEDAD LIMITADA.","Desconocido","Activa","[976496711]","['www.grupo-mln.com']","pequeña"
"Q0667002J","2176711.93","2017","7980480.24","LEAL, MIGUEL","3600 - Captación, depuración y distribución de agua","AVENIDA SEVILLA, 15","administracion@crcorellana.es","70","[924803100]","1976-10-18","2017-12-31","ORGANISMO PÚBLICO","06400 DON BENITO (Badajoz)","COMUNIDAD GENERAL DE REGANTES DEL CANAL DE ORELLANA","Desconocido","Activa","[924811507]","Desconocido","mediana"
"V43509207","6825581.29","2017","6840180","Desconocido","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CARRETERA VALENCIA-TARRAGONA, KM 1155","angel.juannavarro@celanese.de","0","[977389291]","1997-05-22","2017-12-31","OTROS TIPOS NO DEFINIDOS","43206 REUS (Tarragona)","COMPLEJO INDUSTRIAL TAQSA AGRUPACION DE INTERES ECONOMICO  (EXTINGUIDA)","Desconocido","Extinción","[933652000, 977307767, 977307711]","Desconocido","pequeña"
